10/16/15
Module Metrics

Program: PopcornTime_Android
Module Name,Mod #,v(G),ev(G),iv(G),# Lines,Line #
FileUtils.convertStreamToString(java.io.InputStream),166,2,1,2,10,78
pct.droid.base.fragments.BaseVideoPlayerFragment.2.__Anon_001_.onFileSelected(java.io.File),623,2,1,2,9,842
pct.droid.base.beaming.BeamPlayerNotificationService.__Anon_005_.onSuccess(PlayStateStatus),552,2,1,2,9,218
"pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.7.__Anon_001_.onSelection(int,java.lang.Object)",570,2,1,2,9,191
"pct.droid.base.beaming.BeamPlayerNotificationService.__Anon_004_.onBitmapLoaded(android.graphics.Bitmap,LoadedFrom)",549,2,1,2,9,182
"BeamPlayerNotificationService.onStartCommand(android.content.Intent,int,int)",113,2,1,2,9,159
TorrentService.onBind(android.content.Intent),449,2,1,2,9,110
PixelUtils.getStatusBarHeight(android.content.Context),297,2,1,2,9,59
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_026_.get(PrefItem),596,2,1,2,8,464
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_024_.get(PrefItem),594,2,1,2,8,434
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_020_.get(PrefItem),590,2,1,2,8,376
TorrentService.onStreamReady(com.github.sv244.torrentstream.Torrent),457,2,1,2,8,336
pct.droid.base.torrent.TorrentService.__Anon_001_.onBecameBackground(),674,2,1,2,8,294
pct.droid.base.torrent.TorrentService.__Anon_001_.onBecameForeground(),675,2,1,2,8,284
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_008_.get(PrefItem),578,2,1,2,8,205
TorrentService.stopForeground(),1622,2,1,2,8,188
TorrentService.setCurrentActivity(pct.droid.base.activities.TorrentActivity),461,2,1,2,8,130
TorrentService.onRebind(android.content.Intent),452,2,1,2,8,121
"pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.3.__Anon_001_.onSelection(int,java.lang.Object)",566,2,1,2,8,120
pct.droid.base.fragments.BaseStreamLoadingFragment.__Anon_001_.run(),620,2,1,2,8,104
pct.droid.base.vpn.VPNHTChecker.__Anon_001_.onResponse(com.squareup.okhttp.Response),684,2,1,2,8,52
"FileSelectorDialogFragment.show(android.support.v4.app.FragmentManager,Listener)",1431,2,1,2,8,48
"pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.27.__Anon_001_.onSelection(int,java.lang.Object)",565,2,1,2,7,487
TorrentService.UpdateTask.run(),441,2,1,2,7,369
